 List Price ,City,State,Address,Zip Code,# of Bedrooms,# of Bathrooms,Square Feet,Lot Size,# of  Car Spaces,Year Built,Price/Sq Ft,Property Tax
999000,Northport,New York,26 Richlee Dr,11731,5,3,4800,21780,4,1962,208,12833
240000,Philidelphia,Pensylvania,3137 Rawle St,19149,3,2,1528,1707,3,1950,157,2340
239000,Philidelphia,Pensylvania,3058 Unruh Ave,19149,3,2,1312,1759,1,1950,182,2117
184900,Philidelphia,Pensylvania,1420 Creston St,19149,4,2,1080,1258,1,1950,171,1397
309999,Philidelphia,Pensylvania,1825 Wilder St,19146,2,3,1200,653,2,1925,258,1887
154900,Philidelphia,Pensylvania,7120 Marden St,19135,3,1,1408,549,1,1947,110,2069
599900,Philidelphia,Pensylvania,2276 N 51st St,19131,6,4,2720,7222,2,1925,221,2389
169000,Philidelphia,Pensylvania,5439 Akron St,19124,3,1,2172,1197,1,1930,78,1706
174900,Philidelphia,Pensylvania,1031 E Cheltenham Ave ,19124,3,1,1088,1119,1,1950,161,1155
90000,Philidelphia,Pensylvania,623 E Courtland St,19120,2,1,800,1085,2,1930,112,1025
150000,Philidelphia,Pensylvania,7811 Temple Rd,19150,3,1,990,938,1,1950,152,1551
234900,Philidelphia,Pensylvania,356 E Montana St,19119,3,2,1278,1507,1,1950,184,1726
235000,Philidelphia,Pensylvania,1223 Faunce St,19111,3,2,1376,879,1,1953,171,2599
219000,Philidelphia,Pensylvania,3029 W Daulphin St,19132,5,2,1973,1359,1,1915,111,612
144900,Philidelphia,Pensylvania,5510 N American St,19120,3,2,1350,1951,1,1930,107,1137
249900,Philidelphia,Pensylvania,6625 N 3rd St,19126,3,3,1664,8398,1,1940,150,2825
184900,Philidelphia,Pensylvania,1420 Creston St,19149,4,2,1080,1258,1,1950,171,1397
110000,Philidelphia,Pensylvania,4766 Vista St,19136,3,1,1160,906,1,1953,95,1340
495000,Philidelphia,Pensylvania,712 S Colorado St,19146,2,2,1250,622,2,1961,396,5718
179000,Philidelphia,Pensylvania,5923 Andale St,19149,3,2,1188,1489,2,1950,151,1709
179900,Philidelphia,Pensylvania,6733 Souder St,19149,3,1,1188,1380,1,1950,151,1768
375000,Pittsburgh,Pennsylvania,5518 Jackson Street,15206,5,3,3288,6751,3,1907,97,4291
45000,Pittsburgh,Pennsylvania,7157 Verona Boulevard,15235,2,1,1138,2151,1,1928,40,726
425000,Pittsburgh,Pennsylvania,1415 Wightman Street,15217,7,3,2072,5401,1,1910,205,4752
699900,Pittsburgh,Pennsylvania,100 Ordale Boulevard,15228,4,3.5,2706,19872,2,1937,259,3346
143900,Pittsburgh,Pennsylvania,2681 Crosby Avenue ,15216,2,1,1179,4852,1,1920,114,2242
19000,Pittsburgh,Pennsylvania,236 Mathews Avenue ,15210,2,1,1050,2299,2,1902,18,681
109999,Pittsburgh,Pennsylvania,300 Kathleen Street,15211,3,1,1248,8719,1,1925,88,769
120000,Pittsburgh,Pennsylvania,136 Agnew Avenue,15210,3,2,1685,4691,2,1932,71,317
220000,Pittsburgh,Pennsylvania,5 Cemetery Avenue,15214,3,2,1342,1441,1,1990,164,458
299000,Pittsburgh,Pennsylvania,3709 Atkins Street,15212,4,2,1986,2500,2,1900,151,2116
199732,Pittsburgh,Pennsylvania,2921 Voelkel Avenue,15216,4,1,1644,4212,1,1900,121,4242
175000,Pittsburgh,Pennsylvania,2317 Sierra Street,15203,3,2,1700,2099,2,1900,103,2084
539900,Pittsburgh,Pennsylvania,1835 Wharton Street,15203,3,3,1806,1014,1,2012,299,9553
389000,Pittsburgh,Pennsylvania,145 Main Entrance Drive,15228,5,4,2244,12192,1,1928,173,1029
475000,Pittsburgh,Pennsylvania,5218 Holmes Street ,15201,3,4,2175,2038,2,1905,218,3010
129000,Pittsburgh,Pennsylvania,665 Montclaire Street,15217,3,1,1218,1306,1,1920,106,1534
279900,Pittsburgh,Pennsylvania,1071 Lakemont Drive,15243,3,2,1508,7697,2,1950,186,882
129900,Pittsburgh,Pennsylvania,3460 Harbison Street,15212,2,2,1020,3092,1,1985,127,1199
39900,Pittsburgh,Pennsylvania,2753 Zephyr Avenue,15204,3,1,1340,2500,1,1951,30,930
24900,Pittsburgh,Pennsylvania,18 Climax Street,15210,2,2,1425,2225,2,1900,17,161
319000,Pittsburgh,Pennsylvania,5022 Friendship Avenue,15224,3,2,1408,2178,2,1925,227,2102
252900,Orlando,Florida,8615 Grandee Dr,32829,3,2,1273,8441,2,1987,199,2791
495000,Orlando,Florida,6659 Crenshaw Dr,32835,5,3,3304,18295,3,1989,150,8059
275000,Orlando,Florida,2022 Brenham Ct,32837,3,2,1623,9753,1,1987,169,3739
306900,Orlando,Florida,2232 Cypress Trace Cir,32825,4,3,2618,6089,2,2000,142,2269
463900,Orlando,Florida,2039 Meeting Pl,32814,4,4,2094,1206,2,2010,222,5180
380900,Orlando,Florida,2637 Stanmore Ct,32817,5,3,2739,11671,2,1997,139,5248
334900,Orlando,Florida,14450 Saint Georges Hill Dr,32828,4,3,2715,9042,2,1999,123,3186
249900,Orlando,Florida,2321 Stone Abbey Blvd,32828,4,2,1640,5632,1,2001,152,1852
315900,Orlando,Florida,14233 Paradise Tree Dr,32828,4,3,2286,5963,2,2004,138,4174
262900,Orlando,Florida,2821 E Pine St,32803,2,2,1323,7156,1,1954,199,2568
379900,Orlando,Florida,1003 E Jackson St,32801,3,2,1443,6002,1,1921,263,3459
349000,Orlando,Florida,14802 Yorkshire Run Dr,32828,4,3,2514,5501,2,2003,139,2781
274900,Orlando,Florida,780 Crystal Bay Ln,32828,4,2,1934,7853,2,2004,142,3995
298000,Orlando,Florida,11951 Ottawa Ave,32837,4,3,2026,7405,2,1990,147,4273
221000,Orlando,Florida,515 Hibiscus Cove Dr,32807,3,2,1581,4721,1,2015,140,3551
